epoch,timestamp,elapsed_time,total_loss,pde_loss,surf_loss,wt_head_loss,wt_kin_loss,ic_h_loss,ic_zb_loss,pde_grad,surf_grad,wt_head_grad,wt_kin_grad,ic_h_grad,ic_zb_grad,total_grad,pde_weight,surf_weight,wt_head_weight,wt_kin_weight,ic_h_weight,ic_zb_weight,cache_mean_residual,cache_max_residual,cache_std_residual,learning_rate,epoch_time
1149,2025-09-30T01:30:03.459769,12.965424060821533,0.0001956625928869471,0.0,0.0001956625928869471,0.0,0.0,0.0,0.0,0.0,0.028092300711177905,0.0,0.0,0.0,0.0,0.028092300711177905,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3201748743085773e-06,1.9808574052149197e-06,4.883324322690896e-07,0.0001,0.013199329376220703
1199,2025-09-30T01:30:04.022108,13.527762651443481,9.776381921255961e-05,0.0,9.776381921255961e-05,0.0,0.0,0.0,0.0,0.0,0.04521531284535474,0.0,0.0,0.0,0.0,0.04521531284535474,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3201748743085773e-06,1.9808574052149197e-06,4.883324322690896e-07,0.0001,0.013291120529174805
1249,2025-09-30T01:30:04.572824,14.078478574752808,6.80534794810228e-05,0.0,6.80534794810228e-05,0.0,0.0,0.0,0.0,0.0,0.05875717512554782,0.0,0.0,0.0,0.0,0.05875717512554782,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3201748743085773e-06,1.9808574052149197e-06,4.883324322690896e-07,0.0001,0.012127399444580078
1299,2025-09-30T01:30:05.113240,14.618894815444946,7.781120984873269e-06,0.0,7.781120984873269e-06,0.0,0.0,0.0,0.0,0.0,0.0036376347258990434,0.0,0.0,0.0,0.0,0.0036376347258990434,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3201748743085773e-06,1.9808574052149197e-06,4.883324322690896e-07,0.0001,0.012067317962646484
1349,2025-09-30T01:30:05.677343,15.182997941970825,2.1240071873762645e-05,0.0,2.1240071873762645e-05,0.0,0.0,0.0,0.0,0.0,0.026053365760027994,0.0,0.0,0.0,0.0,0.026053365760027994,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3201748743085773e-06,1.9808574052149197e-06,4.883324322690896e-07,0.0001,0.012222051620483398
1399,2025-09-30T01:30:06.209635,15.715290307998657,5.356153633329086e-05,0.0,5.356153633329086e-05,0.0,0.0,0.0,0.0,0.0,0.0382598634668921,0.0,0.0,0.0,0.0,0.0382598634668921,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3201748743085773e-06,1.9808574052149197e-06,4.883324322690896e-07,0.0001,0.010075569152832031
1449,2025-09-30T01:30:06.759641,16.26529622077942,6.6206930569023825e-06,0.0,6.6206930569023825e-06,0.0,0.0,0.0,0.0,0.0,0.014386004529474593,0.0,0.0,0.0,0.0,0.014386004529474593,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3201748743085773e-06,1.9808574052149197e-06,4.883324322690896e-07,0.0001,0.011131525039672852
1499,2025-09-30T01:30:07.350168,16.855823040008545,6.161195778986439e-05,0.0,6.161195778986439e-05,0.0,0.0,0.0,0.0,0.0,0.031635425105369944,0.0,0.0,0.0,0.0,0.031635425105369944,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3201748743085773e-06,1.9808574052149197e-06,4.883324322690896e-07,0.0001,0.01103830337524414
1549,2025-09-30T01:30:07.902010,17.407665491104126,0.0003958426823373884,0.0,0.0003958426823373884,0.0,0.0,0.0,0.0,0.0,0.14031182719960064,0.0,0.0,0.0,0.0,0.14031182719960064,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3119292816554662e-06,1.955714424184407e-06,4.859668365497782e-07,0.0001,0.01461935043334961
1599,2025-09-30T01:30:08.452700,17.95835542678833,0.0002948609762825072,0.0,0.0002948609762825072,0.0,0.0,0.0,0.0,0.0,0.05714373933427957,0.0,0.0,0.0,0.0,0.05714373933427957,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3119292816554662e-06,1.955714424184407e-06,4.859668365497782e-07,0.0001,0.010113239288330078
