 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.2025    Time:  11:34: 7
 Units: L = m    , T = hours, M = mmol 



                               Node( 14)                      Node( 30)                      Node( 50)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux  
        146.7500       -2.15  0.3181 -0.805E-02         -2.81  0.2913 -0.424E-02         -3.25  0.2753 -0.161E-02
        147.0000       -2.12  0.3195 -0.765E-02         -2.74  0.2941 -0.458E-02         -3.22  0.2761 -0.173E-02
        147.2500       -2.11  0.3198 -0.700E-02         -2.68  0.2965 -0.479E-02         -3.20  0.2770 -0.188E-02
        147.5000       -2.11  0.3201 -0.659E-02         -2.62  0.2985 -0.489E-02         -3.17  0.2780 -0.203E-02
        148.0000       -2.11  0.3201 -0.594E-02         -2.55  0.3015 -0.490E-02         -3.10  0.2803 -0.232E-02
        148.5000       -2.12  0.3198 -0.541E-02         -2.49  0.3037 -0.478E-02         -3.03  0.2827 -0.257E-02
        149.0000       -2.12  0.3193 -0.500E-02         -2.45  0.3052 -0.463E-02         -2.96  0.2853 -0.280E-02
        149.5000       -2.14  0.3186 -0.457E-02         -2.43  0.3063 -0.445E-02         -2.90  0.2876 -0.297E-02
        150.0000       -2.18  0.3171 -0.396E-02         -2.41  0.3069 -0.421E-02         -2.85  0.2896 -0.308E-02
        150.5000       -2.21  0.3154 -0.346E-02         -2.41  0.3071 -0.395E-02         -2.81  0.2912 -0.313E-02
        151.0000       -2.26  0.3136 -0.304E-02         -2.41  0.3069 -0.368E-02         -2.78  0.2926 -0.313E-02
        151.5000       -2.30  0.3116 -0.262E-02         -2.42  0.3064 -0.341E-02         -2.75  0.2937 -0.310E-02
        152.0000       -2.37  0.3088 -0.198E-02         -2.44  0.3056 -0.310E-02         -2.73  0.2945 -0.304E-02
        152.5000       -2.44  0.3057 -0.148E-02         -2.47  0.3046 -0.279E-02         -2.71  0.2950 -0.294E-02
        153.0000       -2.51  0.3031 -0.125E-02         -2.50  0.3034 -0.250E-02         -2.71  0.2953 -0.283E-02
        153.5000       -2.56  0.3009 -0.109E-02         -2.53  0.3021 -0.226E-02         -2.70  0.2954 -0.271E-02
        154.0000       -2.62  0.2988 -0.984E-03         -2.56  0.3008 -0.207E-02         -2.70  0.2954 -0.259E-02
        154.5000       -2.66  0.2970 -0.897E-03         -2.60  0.2996 -0.190E-02         -2.71  0.2952 -0.247E-02
        155.0000       -2.71  0.2952 -0.802E-03         -2.63  0.2984 -0.176E-02         -2.72  0.2949 -0.235E-02
        155.5000       -2.75  0.2936 -0.717E-03         -2.66  0.2972 -0.164E-02         -2.72  0.2946 -0.225E-02
        156.0000       -2.79  0.2920 -0.639E-03         -2.69  0.2961 -0.153E-02         -2.73  0.2942 -0.214E-02
        156.5000       -2.83  0.2904 -0.565E-03         -2.71  0.2950 -0.142E-02         -2.75  0.2938 -0.205E-02
        157.0000       -2.87  0.2888 -0.478E-03         -2.74  0.2939 -0.133E-02         -2.76  0.2933 -0.196E-02
        157.5000       -2.91  0.2873 -0.397E-03         -2.77  0.2928 -0.124E-02         -2.77  0.2928 -0.188E-02
        158.0000       -2.95  0.2857 -0.312E-03         -2.80  0.2917 -0.116E-02         -2.78  0.2923 -0.180E-02
        158.5000       -3.00  0.2840 -0.213E-03         -2.83  0.2906 -0.107E-02         -2.80  0.2918 -0.172E-02
        159.0000       -3.04  0.2823 -0.106E-03         -2.85  0.2895 -0.989E-03         -2.81  0.2912 -0.165E-02
        159.5000       -3.09  0.2807 -0.437E-05         -2.88  0.2884 -0.906E-03         -2.83  0.2906 -0.158E-02
        160.0000       -3.13  0.2790  0.840E-04         -2.91  0.2873 -0.823E-03         -2.84  0.2900 -0.151E-02
        160.5000       -3.18  0.2774  0.175E-03         -2.94  0.2861 -0.740E-03         -2.86  0.2894 -0.144E-02
        161.0000       -3.24  0.2756  0.273E-03         -2.97  0.2849 -0.656E-03         -2.87  0.2888 -0.137E-02
        161.5000       -3.29  0.2738  0.376E-03         -3.00  0.2837 -0.569E-03         -2.89  0.2881 -0.131E-02
        162.0000       -3.35  0.2719  0.466E-03         -3.04  0.2824 -0.482E-03         -2.91  0.2875 -0.124E-02
        162.5000       -3.41  0.2700  0.556E-03         -3.07  0.2812 -0.398E-03         -2.92  0.2868 -0.118E-02
        163.0000       -3.47  0.2680  0.643E-03         -3.11  0.2800 -0.328E-03         -2.94  0.2860 -0.112E-02
        163.5000       -3.53  0.2660  0.714E-03         -3.14  0.2788 -0.265E-03         -2.96  0.2853 -0.105E-02
        164.0000       -3.59  0.2640  0.779E-03         -3.18  0.2776 -0.204E-03         -2.98  0.2845 -0.992E-03
        164.5000       -3.65  0.2621  0.830E-03         -3.21  0.2764 -0.147E-03         -3.00  0.2838 -0.931E-03
        165.0000       -3.70  0.2601  0.876E-03         -3.25  0.2752 -0.947E-04         -3.02  0.2830 -0.870E-03
        165.5000       -3.76  0.2582  0.919E-03         -3.28  0.2741 -0.461E-04         -3.04  0.2821 -0.811E-03
        166.0000       -3.82  0.2562  0.959E-03         -3.32  0.2729 -0.100E-05         -3.06  0.2814 -0.756E-03
        166.5000       -3.88  0.2545  0.991E-03         -3.36  0.2717  0.407E-04         -3.09  0.2806 -0.712E-03
        167.0000       -3.94  0.2529  0.101E-02         -3.39  0.2705  0.792E-04         -3.11  0.2799 -0.672E-03
        167.5000       -3.99  0.2514  0.102E-02         -3.43  0.2694  0.115E-03         -3.13  0.2792 -0.633E-03
        168.0000       -4.05  0.2500  0.102E-02         -3.46  0.2682  0.147E-03         -3.15  0.2784 -0.596E-03
end
end
