site_no,latitude_dms,longitude_dms
422142088303103,"42°21'42.2""","88°30'31.5"""
422142088303101,"42°21'42.2""","88°30'31.5"""
402741088524102,"40°27'41.1""","88°52'40.3"""
422704088385301,"42°27'04.3""","88°38'52.9"""
421122088222702,"42°11'22""","88°22'27"""
422032088222001,"42°20'32.41""","88°22'20.47"""
415109087385901,"41°51'08.8""","87°38'59.0"""
401934089541701,"40°19'34.4""","89°54'17.3"""
422433088140601,"42°24'32.88""","88°14'06.06"""
421321088341101,"42°13'21.06""","88°34'11.17"""
421122088222701,"42°11'22""","88°22'27"""
391350087385301,"39°13'49.6""","87°38'53.2"""
401921089282103,"40°19'21.4""","89°28'21.4"""
422308088231002,"42°23'08""","88°23'10"""
401934089541705,"40°19'34.4""","89°54'17"""
422803087475304,"42°28'05""","87°47'58"""
422308088231001,"42°23'08""","88°23'10"""
421626088311401,"42°16'26.4""","88°31'14.3"""
422704088385302,"42°27'04""","88°38'53"""
421036088054501,"42°10'36.35""","88°05'44.94"""
414659087411702,"41°46'58.97""","87°41'16.67"""
422308088264201,"42°23'07.67""","88°26'41.67"""
421653088370901,"42°16'52.96""","88°37'09.29"""
421626088311402,"42°16'26""","88°31'14"""
421653088370902,"42°16'52.96""","88°37'09.29"""
421547088142301,"42°15'47.4""","88°14'23.1"""
393750090333101,"39°37'49.70""","90°33'31.74"""
422358088360201,"42°23'58.36""","88°36'02.23"""
422803087475302,"42°28'05""","87°47'58"""
421533088421801,"42°15'32.5""","88°42'19.3"""
421653088370903,"42°16'52.96""","88°37'09.29"""
422828088333301,"42°28'28.5""","88°33'33.4"""
402736088523902,"40°27'36.08""","88°52'38.59"""
421145088194802,"42°11'45""","88°19'48"""
421132088085901,"42°11'32.20""","88°08'59.70"""
421341088283702,"42°13'41""","88°28'37"""
383048089263201,"38°30'51.8""","89°26'28.3"""
421317088182301,"42°13'17""","88°18'23"""
413941087331201,"41°39'41.42""","87°33'11.96"""
422803087475303,"42°28'05""","87°47'58"""
422845088285401,"42°28'44.84""","88°28'53.85"""
421241088101801,"42°12'40.79""","88°10'18.14"""
422308088195602,"42°23'07.7""","88°19'56.1"""
415108087392801,"41°51'08.6""","87°39'28.2"""
422848088191002,"42°28'48""","88°19'10"""
413942087331301,"41°39'41.79""","87°33'12.89"""
421120088281801,"42°11'19.94""","88°28'18.14"""
402558087351501,"40°25'59.5""","87°35'26.5"""
402739088524102,"40°27'39.04""","88°52'41.38"""
422803087475305,"42°28'05.2""","87°47'58.3"""
401921089282102,"40°19'21.4""","89°28'21.4"""
401934089541702,"40°19'34.3""","89°54'17.3"""
420457088105801,"42°04'56.8""","88°10'58.0"""
374453088261701,"37°44'53.5""","88°26'17.0"""
422858088235601,"42°28'58.37""","88°23'55.84"""
421056088380801,"42°10'56.4""","88°38'07.7"""
