site_no,latitude_dms,longitude_dms
360252090173201,,
364818094185301,,
374254094524501,,
375749091475001,,
372202094370201,,
382748093595101,,
373620093470301,,
383644091124901,,
365451093555501,,
375259093181401,,
370539093494001,,
390207092570801,,
380229093464701,,
383550092094201,,
380322091142601,,
371801093260401,,
370655093035301,,
372022092542201,"37°20'23.2""","92°54'23.1"""
384849090092001,,
365644094001301,,
385428091265001,,
364643089212301,,
365602092395101,,
365654091001301,,
364453093543602,,
364324091515001,,
364313094121101,,
403055094364701,,
380435090281301,,
402627095220601,,
403301094492301,,
363236094290301,,
380501090335501,,
383031090384101,,
385837090594701,,
370236093174401,,
394013093400201,,
384534093431101,,
402618095222701,,
382745091275701,,
372958094161001,,
365319089331001,,
383302090420201,,
400458093582001,,
383906090511401,,
363728093150401,,
383151092081601,"38°31'51""","92°08'16"""
382836091502301,,
384917091594401,,
383707092311701,,
373210090180601,,
383226092054001,,
362955089581801,,
373955091065901,,
384737090372001,,
365645093431601,,
384258091243001,,
373653091330101,,
382835094254301,"38°28'35""","94°25'43"""
390945091494001,,
401057091494501,,
390750093233401,,
371548093144701,,
380038092442701,,
370354093325901,,
363436092391001,,
381405090260301,,
381217091104501,,
375617090465401,,
365949091421401,,
372853091061801,,
364059093520001,,
395043091262601,,
373701093151601,,
371800092094801,,
390945094234001,,
375429092300701,,
385718092234201,,
380545094213501,,
392147090541901,,
363551090152801,,
401920092130301,,
394156092030201,,
365559092030001,,
371548093144702,,
363855093134701,,
392813092124701,,
384147093101901,,
384846090510301,,
370907093144101,,
384713091474301,,
372715090510701,,
370624092244701,,
391222093185501,,
400251094485901,,
391149092072901,,
384258092231401,"38°42'58""","92°23'14"""
385845090583801,,
390651092125101,,
375306090125301,,
391236094170201,,
372202094370202,,
401444093442001,,
371036094171301,,
365415093342301,,
372153091322301,,
364006093200301,,
370248090042601,,
384832093192501,,
402657093470201,,
393544093075601,,
370828094274101,,
372338094052801,,
392045093302401,,
382100090592801,,
375625091480401,,
400105093591601,,
365141090304001,,
364453093543601,,
362718089552301,,
370600094223501,,
360425089485001,,
371125089445301,,
373559090082901,,
392321092153901,,
392336094550403,,
384545093331601,,
385432091343201,,
403452092292901,,
390150090542801,,
363550094232601,,
382726093121601,,
380900091153901,,
360252090173202,,
364818094185302,,
394201093181101,,
371435093134701,,
361145089394101,,
380717092395401,,
373906092385201,,
383628090411901,,
325933091154101,"32°59'32.58""","91°15'40.97"""
300035091443301,"30°00'35""","91°44'38"""
325906091391201,"32°59'05.65""","91°39'12.30"""
330001091260701,"33°00'00.85""","91°26'07.29"""
304120092263001,"30°41'20""","92°26'30"""
295314091312101,"29°53'14""","91°31'21"""
301336093183002,"30°13'36""","93°18'30"""
305018093251301,"30°50'18""","93°25'13"""
324707093025001,"32°47'08.6""","93°02'54.1"""
325518093221901,"32°55'18""","93°22'19"""
303251091115001,"30°32'51""","91°11'50"""
302614091083001,"30°26'14""","91°08'30"""
302642091083401,"30°26'42""","91°08'34"""
322343093211501,"32°23'43""","93°21'15"""
302932091101902,"30°29'32""","91°10'19"""
330002092445901,"33°00'02""","92°44'59"""
310928092421401,"31°09'28""","92°42'14"""
302932091101901,"30°29'32""","91°10'19"""
324508091252302,"32°45'08""","91°25'23"""
301336093183001,"30°13'36""","93°18'30"""
295652090020101,"29°56'52""","90°02'01"""
322853091475901,"32°28'53.43""","91°47'58.95"""
305049092164102,"30°50'49""","92°16'41"""
302636091083802,"30°26'36""","91°08'38"""
302702091103902,"30°27'02""","91°10'39"""
301832092234501,"30°18'32""","92°23'48"""
305519090481801,"30°55'19""","90°48'18"""
303026091113001,"30°30'26""","91°11'30"""
302932091101903,"30°29'32""","91°10'19"""
301300092584503,"30°13'00""","92°58'48"""
414607102263302,"41°46'09.42""","102°26'40.89"""
414637099224701,"41°46'36.96""","99°22'46.93"""
420006102561201,"42°00'07""","102°57'22"""
411757096202501,"41°17'56.77""","96°20'24.93"""
414952100060301,"41°49'51.97""","100°06'03.12"""
414153103561402,"41°41'53""","103°56'14"""
414607102263301,"41°46'09.13""","102°26'41.09"""
415118103020903,"41°51'18""","103°02'09"""
422801097334801,"42°28'01""","97°33'49"""
413216102520201,"41°32'16""","102°52'02"""
420204101200503,"42°01'57.82""","101°20'15.8"""
412944103452701,"41°29'43.15""","103°45'27.43"""
413130100531202,"41°31'30.24""","100°53'18.12"""
413156098591201,"41°31'56""","98°59'12"""
411911096241601,"41°19'11.00""","96°24'16.00"""
411845096211201,"41°18'45.26""","96°21'11.81"""
415630099513601,"41°56'30.26""","99°51'36.37"""
422245097553801,"42°22'44.6""","97°55'38.1"""
420301103554802,"42°03'00.99""","103°55'48.84"""
415022096434301,"41°50'22.22""","96°43'43.97"""
413853103532102,"41°38'56.35""","103°53'23.98"""
420757104024701,"42°07'56.04""","104°02'48.45"""
423730098560001,"42°37'26.11""","98°56'02.59"""
414643100313101,"41°46'42.91""","100°31'30.58"""
411903096245501,"41°19'02.59""","96°24'54.6"""
421210098402001,"42°12'16.59""","98°40'16.44"""
422801097334802,"42°28'01""","97°33'49"""
422802097031601,"42°28'02.93""","97°03'17.14"""
414107102233801,"41°41'07""","103°23'38"""
413813103334501,"41°38'13""","103°33'45"""
422245097553802,"42°22'45""","97°55'38"""
422849099521503,"42°28'49.55""","99°52'16.64"""
415628103554901,"41°56'28""","103°55'49"""
413455102370701,"41°34'59.01""","102°37'02.63"""
415559098005201,"41°55'48.14""","98°01'02.92"""
420204101200502,"42°02'04""","101°20'05"""
422150097402401,"42°21'54.78""","97°40'17.92"""
415654103420401,"41°56'53.8""","103°42'04.4"""
423148098300601,"42°31'50.84""","98°30'05.15"""
334215089442701,"33°42'21""","89°44'27"""
341210090343701,"34°12'10""","90°34'37"""
332348090505301,"33°23'48""","90°50'53"""
333145090261901,"33°31'45""","90°26'19"""
334956090402201,"33°49'56""","90°40'22"""
303530088542501,"30°35'29.6""","88°54'24.6"""
335911090553901,"33°59'17.2""","90°55'34.2"""
340841090134701,"34°08'41.0""","90°13'46.9"""
343152088213003,"34°31'52""","88°21'30"""
333251090323801,"33°32'51""","90°32'38"""
314115088392301,"31°41'07""","88°39'27"""
325728091002701,"32°57'28""","91°00'27"""
333904090123801,"33°39'04""","90°12'38"""
330152090595601,"33°01'52""","90°59'56"""
323047090484401,"32°30'47""","90°48'44"""
325817090464201,"32°58'17""","90°46'42"""
342718087285601,"34°27'18""","87°28'56"""
333605085204701,"33°36'04.75""","85°20'46.89"""
333204087324601,"33°32'04""","87°32'46"""
302416087505501,"30°24'17.2""","87°50'54.1"""
335929087021001,"33°59'29""","87°02'10"""
323001088021601,"32°30'01""","88°02'15"""
322047086214301,"32°20'47""","86°21'43"""
311319086153601,"31°13'19""","86°15'36"""
322500085551201,"32°25'00.9""","85°55'11.7"""
433246092254801,"43°32'46.50""","92°25'48.54"""
465652094394701,,
445410093142801,"44°54'10.28""","93°14'28.68"""
445435093150801,"44°54'34.57""","93°15'08.13"""
433528092265102,"43°35'28.18""","92°26'51.00"""
450542093105809,"45°05'42.31""","93°10'57.74"""
464110092531401,"46°41'10""","92°53'14"""
433531092265306,"43°35'31.90""","92°26'52.65"""
433242092260901,"43°32'42.06""","92°26'09.80"""
433249092260501,"43°32'49.45""","92°26'05.55"""
474428091594601,"47°44'28.54""","91°59'46.02"""
444630095002203,"44°46'30.14""","95°00'21.42"""
433527092265504,"43°35'27.72""","92°26'55.35"""
465652094394801,"46°56'52.81""","94°39'47.97"""
450832094321201,"45°08'32""","94°32'12"""
435239095074801,"43°52'38.30""","95°07'48.35"""
433528092265107,"43°35'28.55""","92°26'50.97"""
433243092260604,"43°32'43.37""","92°26'06.31"""
433240092260601,"43°32'40.95""","92°26'04.85"""
463418094183601,"46°34'18.42""","94°18'35.51"""
444630095002206,"44°46'30.64""","95°00'21.74"""
465652094394501,,
433247092260704,"43°32'47.35""","92°26'07.48"""
465652094394804,"46°56'52.90""","94°39'48.01"""
450814094315003,"45°08'14""","94°31'50"""
433531092265304,"43°35'31.53""","92°26'52.67"""
450543093105306,"45°05'42.89""","93°10'53.56"""
433527092265505,"43°35'27.91""","92°26'55.36"""
473425095052602,"47°34'24.97""","95°05'27.15"""
450543093105501,"45°05'42.79""","93°10'54.24"""
450543093105301,"45°05'42.91""","93°10'53.38"""
474921093144001,"47°49'20.88""","93°14'38.65"""
473423095053301,"47°34'22.48""","95°05'34.17"""
474126096165301,"47°41'25.37""","96°16'52.64"""
450832094321204,"45°08'32""","94°32'12"""
433528092265104,"43°35'28.37""","92°26'50.97"""
433528092265108,"43°35'28.71""","92°26'50.96"""
464112092531404,"46°41'12""","92°53'14"""
433531092265301,"43°35'31.18""","92°26'52.69"""
465652094394802,"46°56'52.79""","94°39'47.84"""
444630095002205,"44°46'29.75""","95°00'21.42"""
473425095052302,"47°34'25.43""","95°05'22.84"""
444630095002209,"44°46'30.33""","95°00'21.76"""
464112092531401,"46°41'12""","92°53'14"""
433528092265106,"43°35'28.30""","92°26'50.99"""
433249092260801,"43°32'49.37""","92°26'08.80"""
445416093141501,"44°54'09.71""","93°14'20.20"""
433245092254904,"43°32'45.32""","92°25'49.67"""
433527092265701,"43°35'27.46""","92°26'56.70"""
450543093105407,"45°05'42.85""","93°10'53.80"""
433243092260605,"43°32'43.38""","92°26'06.59"""
433247092260705,"43°32'47.34""","92°26'07.75"""
433243092260606,"43°32'43.37""","92°26'06.82"""
433247092260706,"43°32'47.34""","92°26'07.98"""
450542093105508,"45°05'42.38""","93°10'54.85"""
450542093105813,"45°05'42.31""","93°10'57.94"""
433243092260602,"43°32'43.38""","92°26'06.04"""
433247092260702,"43°32'47.36""","92°26'07.19"""
444630095002208,"44°46'30.43""","95°00'21.75"""
433531092263901,"43°35'31.04""","92°26'38.59"""
450814094315001,"45°08'14""","94°31'50"""
433533092265701,"43°35'33.23""","92°26'56.61"""
443053094591001,"44°30'53.32""","94°59'10.21"""
445436093144901,"44°54'36.26""","93°14'48.32"""
433245092254905,"43°32'45.33""","92°25'49.92"""
433527092265501,"43°35'27.16""","92°26'55.41"""
433528092265101,"43°35'28.03""","92°26'51.01"""
464110092531403,"46°41'10""","92°53'14"""
433242092260902,"43°32'42.05""","92°26'09.84"""
433528092265103,"43°35'28.37""","92°26'51.00"""
450832094321203,"45°08'32""","94°32'12"""
473426095052401,"47°34'25.36""","95°05'25.41"""
433243092260603,"43°32'43.38""","92°26'06.31"""
450832094321206,"45°08'32""","94°32'12"""
445444093140401,"44°54'43.58""","93°14'03.73"""
433247092260703,"43°32'47.36""","92°26'07.48"""
450542093105401,"45°05'42.26""","93°10'53.72"""
433527092265502,"43°35'27.34""","92°26'55.39"""
452012093412701,"45°20'11.25""","93°41'26.50"""
433533092264901,"43°35'32.55""","92°26'49.23"""
433531092265303,"43°35'31.53""","92°26'52.69"""
444630095002207,"44°46'30.53""","95°00'21.75"""
455927095123101,"45°59'27.43""","95°12'24.64"""
450542093105506,"45°05'42.41""","93°10'54.61"""
464110092531402,"46°41'10""","92°53'14"""
450814094315006,"45°08'14""","94°31'50"""
433527092265503,"43°35'27.53""","92°26'55.37"""
433244092255002,"43°32'44.23""","92°25'50.37"""
435723092171801,"43°57'22.64""","92°17'18.10"""
445450093140101,"44°54'50.40""","93°14'01.23"""
433246092255001,"43°32'46.37""","92°25'50.07"""
465652094394803,"46°56'52.89""","94°39'47.87"""
433247092260701,"43°32'47.38""","92°26'06.97"""
433243092260601,"43°32'43.38""","92°26'05.80"""
320754081364301,"32°07'54""","81°36'43"""
313253081433501,"31°32'52""","81°43'36"""
313532084203501,"31°35'32""","84°20'32"""
310706082155101,"31°07'06""","82°15'56"""
324209082430201,"32°42'09""","82°43'02"""
312237084391701,"31°22'37.3""","84°39'17.0"""
320127080511203,"32°01'27""","80°51'12"""
321302082243601,"32°13'02""","82°24'36"""
310507084262201,"31°05'07""","84°26'22"""
315906081011202,"31°59'06""","81°01'12"""
311007081301701,"31°10'06.6""","81°30'16.5"""
344314083433201,"34°43'14""","83°43'32"""
311647084173801,"31°16'47.4""","84°17'38.1"""
311456081210501,"31°14'55.8""","81°21'05.1"""
312827084551501,"31°28'24""","84°55'16"""
312853084275101,"31°28'53""","84°27'51"""
332221081584602,"33°22'21.1""","81°58'46.3"""
314330084005401,"31°43'30""","84°00'51"""
342125084083301,"34°21'27""","84°08'34"""
315731083542301,"31°57'31""","83°54'23"""
311028081285902,"31°10'28.3""","81°28'59.8"""
312617084110701,"31°26'17.7""","84°11'06.1"""
322036084590301,"32°20'31""","84°59'10"""
320357081162001,"32°03'57""","81°16'20"""
310825081294201,"31°08'25""","81°29'42"""
315731083542302,"31°57'31""","83°54'23"""
331944082025501,"33°19'46.4""","82°02'57.4"""
313534084103003,"31°35'37""","84°10'29"""
313813084125001,"31°38'11""","84°12'49"""
313253081433504,"31°32'52""","81°43'36"""
325232082131501,"32°52'32.8""","82°13'15.0"""
312712082593301,"31°27'12""","83°29'33"""
312446081271203,"31°24'46""","81°27'12"""
310428084310503,"31°04'28""","84°31'05"""
322652083033001,"32°27'06""","83°03'28"""
304806084404101,"30°48'06.7""","84°40'41.2"""
311456081210503,"31°14'54.2""","81°21'05.3"""
313253081433503,"31°32'52""","81°43'36"""
322245083290101,"32°22'45""","83°29'01"""
314330084005403,"31°43'30""","84°00'51"""
310810081292801,"31°08'10""","81°29'28"""
315353084192501,"31°53'51""","84°19'25"""
330548081391102,"33°05'49""","81°39'11"""
332221081584601,"33°22'21.2""","81°58'46.3"""
313534084103001,"31°35'36""","84°10'30"""
311454081210503,"31°14'53.9""","81°21'05.4"""
314602084473701,"31°46'09""","84°47'43"""
311009084495503,"31°10'08""","84°49'54"""
313253081433502,"31°32'52""","81°43'36"""
311711081283002,"31°17'11""","81°28'30"""
304712084395801,"30°47'11.7""","84°39'57.95"""
320127080511201,"32°01'27""","80°51'12"""
320226082301101,"32°02'25""","82°30'05"""
320622081063702,"32°06'22""","81°06'37"""
325848082480901,"32°58'48""","82°48'08"""
322234081190003,"32°22'34""","81°19'00"""
320021081124801,"32°00'21""","81°12'48"""
310925081312201,"31°09'25""","81°31'22"""
310901081284402,"31°09'01""","81°28'44"""
310418081244701,"31°04'23.2""","81°24'51.1"""
320202080541202,"32°02'02""","80°54'12"""
313823081154201,"31°38'23""","81°15'42"""
310428084310501,"31°04'28""","84°31'05"""
310925081312202,"31°09'25""","81°31'22"""
310901081284401,"31°09'01.1""","81°28'43.3"""
311007081301702,"31°10'06.82""","81°30'16.5"""
330548081391103,"33°05'48""","81°39'11"""
311802084192301,"31°18'02""","84°19'23"""
313146083491601,"31°31'46""","83°49'16"""
331507084171801,"33°15'54""","84°16'56"""
312827084551503,"31°28'24""","84°55'15"""
340204083132601,"34°02'05""","83°13'26"""
315906081011204,"31°59'06""","81°01'12"""
330548081391101,"33°05'48""","81°39'11"""
315353084192502,"31°53'50""","84°19'21"""
310810081292802,"31°08'10""","81°29'28"""
320530081085001,"32°05'30""","81°08'50"""
320127080511301,"32°01'27""","80°51'13"""
315443081185903,"31°54'43.2""","81°18'58.6"""
310818081293701,"31°08'18.1""","81°29'36.8"""
310931081291002,"31°09'31""","81°29'10"""
320433081042701,"32°04'33""","81°04'27"""
332528082003301,"33°25'28.31""","82°00'34.49"""
322236081191001,"32°22'36""","81°19'10"""
310410081343801,"31°04'10.83""","81°34'38.9"""
335612084312902,"33°56'12.65""","84°31'30.18"""
311647084173803,"31°16'47.3""","84°17'38.3"""
311456081210504,"31°14'56""","81°21'05"""
311022081304601,"31°10'22""","81°30'46"""
313247084005001,"31°32'47""","84°00'50"""
342922084511601,"34°29'22""","84°51'16"""
323123081511601,"32°31'23""","81°51'16"""
310818081294201,"31°08'21.7""","81°29'41.8"""
321742081234901,"32°17'42""","81°23'49"""
320122080510204,"32°01'22""","80°51'02"""
321742081234904,"32°17'42""","81°23'49"""
320202080541201,"32°02'02""","80°54'12"""
323123081511602,"32°31'23""","81°51'16"""
331711081573701,"33°15'25.7""","81°57'45.0"""
310602081423601,"31°06'02.9""","81°42'36.1"""
310835081294501,"31°08'35""","81°29'45"""
335517084164001,"33°55'17""","84°16'40"""
304406081330503,"30°44'06""","81°33'05"""
311909081281103,"31°19'09""","81°28'11"""
311022081304602,"31°10'22""","81°30'46"""
320202080541203,"32°02'02""","80°54'12"""
311530081363901,"31°15'30""","81°36'39"""
332131082013401,"33°21'30.8""","82°01'34.1"""
310835081294502,"31°08'35""","81°29'45"""
314330084005402,"31°43'30""","84°00'51"""
313808084093601,"31°38'08""","84°09'36"""
310902081284201,"31°09'02.2""","81°28'42.4"""
304313081330001,"30°43'13.2""","81°32'59.8"""
312919084153801,"31°29'14.3""","84°15'30"""
304406081330504,"30°44'06""","81°33'05"""
323030083030003,"32°30'27""","83°02'44"""
311909081281102,"31°19'09""","81°28'11"""
320139083511602,"32°01'48""","83°51'08"""
304406081330502,"30°44'06""","81°33'05"""
313845081361701,"31°38'54""","81°36'04"""
332808083010201,"33°28'08""","83°01'02"""
312705084410301,"31°27'05""","84°41'03"""
315214081235301,"31°52'14""","81°23'53"""
313554084062501,"31°35'51""","84°06'24"""
310651084404501,"31°06'51""","84°40'44"""
313625084041501,"31°36'21""","84°04'09"""
311802084192302,"31°18'02""","84°19'23"""
304942082213801,"30°49'43""","82°21'38"""
320127080511205,"32°01'27""","80°51'12"""
305235084125101,"30°52'35""","84°12'52"""
305736084355801,"30°57'42""","84°35'46"""
312232084391701,"31°22'38""","84°39'17"""
313040084125901,"31°30'41.8""","84°12'33.1"""
311530081363904,"31°15'30""","81°36'39"""
313521084051001,"31°35'21""","84°05'10"""
313000084100301,"31°30'00.5""","84°10'02.7"""
315443081185902,"31°54'43""","81°18'59"""
321943081151401,"32°19'43""","81°15'14"""
313534084103002,"31°35'35""","84°10'30"""
310427084591101,"31°04'27""","84°59'11"""
320150080540601,"32°01'50""","80°54'06"""
311400084295502,"31°14'00""","84°29'55"""
312711083293101,"31°27'11.17""","83°29'30.62"""
323302083263401,"32°33'02""","83°26'34"""
312947084092201,"31°29'46.9""","84°09'22"""
313953084361202,"31°39'52""","84°36'16"""
304949083165301,"30°49'51""","83°16'58"""
305356084534601,"30°53'49""","84°53'55"""
334207084254801,"33°42'07""","84°25'48"""
345403085160001,"34°54'04.3""","85°15'58.4"""
310813083260301,"31°08'13""","83°26'03"""
304406081330505,"30°44'06""","81°33'05"""
315113081121401,"31°51'13""","81°12'14"""
313701081543501,"31°37'01""","81°54'34"""
315950081161201,"31°59'50""","81°16'12"""
310925081312203,"31°09'25""","81°31'22"""
313953084361201,"31°39'52""","84°36'15"""
320622081063701,"32°06'22""","81°06'37"""
310822081294201,"31°08'18.8""","81°29'41.5"""
312127084065801,"31°21'29""","84°06'57"""
311909081281101,"31°19'09""","81°28'11"""
420014091442701,"42°00'14""","91°44'27"""
415953091435302,"41°59'53""","91°43'53"""
414315091252002,"41°43'16""","91°25'20"""
410057095075102,"41°00'57.7""","95°07'53.3"""
420212095235701,"42°02'11.9""","95°23'57.2"""
415953091435201,"41°59'53""","91°43'52"""
430159093403201,"43°01'59.2""","93°40'31.9"""
420031091422601,"42°00'31.5""","91°42'26.3"""
420033091420302,"42°00'33""","91°42'03"""
413937093391601,"41°39'36.88""","93°39'16.32"""
411843092105101,"41°18'42.6""","92°10'50.9"""
422518092144701,"42°25'17.8""","92°14'47.8"""
420842090203311,"42°08'42.0""","90°20'33.9"""
413937093391801,"41°39'36.94""","93°39'17.55"""
421115091250501,"42°11'15.3""","91°25'05.5"""
413714093375901,"41°37'14.00""","93°37'58.53"""
415439093094801,"41°54'38.8""","93°09'47.7"""
415939091400201,"41°59'39.32""","91°40'02.50"""
420932090201003,"42°09'32.6""","90°20'10.7"""
420850090201608,"42°08'50.7""","90°20'16.8"""
410057095075101,"41°00'57""","95°07'50"""
414034093391803,"41°40'34.0""","93°39'17.57"""
415959091441301,"41°59'58.6""","91°44'12.9"""
413714093375801,"41°37'13.77""","93°37'57.94"""
414818092055401,"41°49'11.0""","92°05'54.4"""
415954091440401,"41°59'54.7""","91°44'04.5"""
415827091392401,"41°58'26.7""","91°39'24.2"""
413849093391401,"41°38'48.84""","93°39'13.50"""
415954091435302,"41°59'54""","91°43'53"""
415954091440301,"41°59'54""","91°44'03"""
430510093425101,"43°05'09.71""","93°42'51.39"""
414035093391801,"41°40'34.75""","93°39'17.64"""
413835093384601,"41°38'35.28""","93°38'45.48"""
413713093380201,"41°37'13.14""","93°38'02.22"""
420855090195709,"42°08'55.9""","90°19'57.9"""
420026091423001,"42°00'26""","91°42'30.60"""
420019091442502,"42°00'19""","91°44'25"""
420117092505601,"42°01'16.5""","92°50'56.3"""
405451091483301,"40°54'51""","91°48'33"""
420836090201910,"42°08'36.3""","90°20'19.1"""
420031091443301,"42°00'31.6""","91°44'33.7"""
413937093391701,"41°39'36.93""","93°39'16.99"""
420019091442501,"42°00'19""","91°44'25"""
420931090200102,"42°09'31""","90°20'01"""
415949091405402,"41°59'49""","91°40'54"""
420924090200904,"42°09'24.9""","90°20'09.6"""
413714093375802,"41°37'14.18""","93°37'57.65"""
414003093391501,"41°40'03.25""","93°39'15.36"""
412927092575201,"41°29'27.4""","92°57'52.0"""
430203091501201,"43°02'03""","91°50'12"""
420031091441801,"42°00'31""","91°44'18"""
420902090202007,"42°09'02.3""","90°20'20.9"""
413714093380001,"41°37'13.67""","93°37'59.79"""
413909093391501,"41°39'08.97""","93°39'14.64"""
414034093391801,"41°40'33.85""","93°39'17.57"""
420912090200406,"42°09'12.1""","90°20'04.4"""
420824090202812,"42°08'24.1""","90°20'28.2"""
414034093391802,"41°40'34.5""","93°39'17.57"""
415825091405601,"41°58'24.6""","91°40'55.8"""
420919090201705,"42°09'19.8""","90°20'17.8"""
382154076574801,"38°21'50.9""","76°57'37.0"""
380527075124101,"38°05'26.89""","75°12'41.07"""
381806075063301,"38°18'06.26""","75°06'33.42"""
383746076482901,"38°37'47.7""","76°48'26.8"""
381805075063502,"38°18'05.4""","75°06'35.5"""
392518076155301,"39°25'20""","76°15'50"""
392521076154701,"39°25'20""","76°15'50"""
382407076260301,"38°24'08.1""","76°26'04.6"""
392544076151202,"39°25'40""","76°15'10"""
381806075063201,"38°18'05.96""","75°06'31.51"""
382443075033501,"38°24'46.0""","75°03'35.1"""
382215075041903,"38°22'15.5""","75°04'18.3"""
392517076155202,"39°25'20""","76°15'50"""
381956076275301,"38°19'56.5""","76°27'52.6"""
392521076154002,"39°25'22""","76°15'40"""
383348076411301,"38°33'48.6""","76°41'07.2"""
382325075063302,"38°23'27.0""","75°06'32.6"""
384153076503801,"38°41'53.02""","76°50'37.72"""
393749079190301,"39°37'47.20""","79°19'03.80"""
394008077005601,"39°40'08""","77°00'56"""
382038075065901,"38°20'38.3""","75°06'57.3"""
382635075030603,"38°26'32.7""","75°03'04.0"""
380616075380701,"38°06'18.9""","75°38'10.9"""
393851077343001,"39°38'50.87""","77°34'29.33"""
392521076154301,"39°25'20""","76°15'40"""
384152076504401,"38°41'51.8""","76°50'44.0"""
383348076411302,"38°33'48.2""","76°41'07.4"""
392517076155201,"39°25'20""","76°15'50"""
392931076410301,"39°29'33.36""","76°41'04.67"""
392521076154001,"39°25'22""","76°15'40"""
380528075124301,"38°05'28.26""","75°12'42.52"""
393733077274801,"39°37'33""","77°27'48"""
393807077270001,"39°38'07.1""","77°27'00.4"""
381804075063402,"38°18'04.81""","75°06'34.24"""
392521076154302,"39°25'20""","76°15'40"""
382549076260101,"38°25'59.7""","76°26'13.0"""
384333076394701,"38°43'34.0""","76°39'48.2"""
380527075124102,"38°05'26.89""","75°12'41.07"""
392544076151201,"39°25'40""","76°15'10"""
383239076354201,"38°32'36.8""","76°35'40.8"""
314144110104702,"31°41'44.12""","110°10'49.90"""
321058110563301,"32°10'58""","110°56'33"""
365403112452801,"36°54'03""","112°45'28"""
332042112352701,"33°20'41.88""","112°35'26.84"""
312717110063501,"31°27'17.20""","110°06'37.87"""
351730110580701,"35°17'29.67""","110°58'06.91"""
313841110122201,"31°38'40.93""","110°12'21.57"""
312214110071601,"31°22'14.52""","110°07'19.70"""
322009111191801,"32°20'09""","111°19'18"""
325231109382701,"32°52'30.86""","109°38'26.96"""
312207110070701,"31°22'08.08""","110°07'09.46"""
313312110082301,"31°33'12""","110°08'23"""
341618114024701,"34°16'18.05""","114°02'46.75"""
345603110450301,"34°56'03""","110°45'03"""
314248110105901,"31°42'48.69""","110°11'01.38"""
361225110240701,"36°12'28""","110°24'36"""
321208110525001,"32°12'08""","110°53'45"""
332314112221801,"33°23'14.36""","112°22'17.89"""
313312110082302,"31°33'12""","110°08'23"""
362936109564101,"36°29'27""","109°56'51"""
312630110063501,"31°26'23.10""","110°06'29.81"""
314903110125501,"31°49'02.80""","110°12'54.79"""
341635114025301,"34°16'35.82""","114°02'52.99"""
313312110082303,"31°33'12""","110°08'23"""
325352109441301,"32°53'51.69""","109°44'12.93"""
321517110571802,"32°15'17""","110°57'18"""
312716110063302,"31°27'16.82""","110°06'35.75"""
341714114040301,"34°17'14.02""","114°04'03.25"""
313643110100101,"31°36'42.84""","110°10'02.92"""
312653110061401,"31°26'38.30""","110°06'26.63"""
345557112294501,"34°55'55""","112°29'46"""
343850111460701,"34°38'49.8""","111°46'06.6"""
345518112332701,"34°55'18""","112°33'27"""
350959110562303,"35°09'59""","110°56'23"""
312900110071001,"31°28'59.95""","110°07'11.88"""
350427112414701,,
322057111134801,"32°20'57""","111°13'48"""
313955110104301,"31°39'55""","110°10'43"""
351630110561601,"35°16'29.78""","110°56'15.87"""
313108110075202,"31°31'08.90""","110°07'54.31"""
314511110120601,"31°45'09.70""","110°12'08.68"""
313310110081702,"31°33'10.83""","110°08'18.97"""
324003114235701,"32°40'03.04""","114°23'56.71"""
350232112404901,,
314904110125001,"31°49'04.38""","110°12'52.61"""
321142110530301,"32°11'57""","110°53'15"""
325601109442601,"32°56'01.10""","109°44'25.75"""
314736110130001,"31°47'34.75""","110°13'03.29"""
350616112435601,"35°06'16""","112°43'56"""
344428112004801,"34°44'28""","112°00'48"""
364338110154601,"36°43'38""","110°15'45"""
351022111061801,"35°10'22""","111°06'18"""
312859110070601,"31°28'59.74""","110°07'07.28"""
312642110063701,"31°26'42.83""","110°06'39.32"""
341539114013501,"34°15'38.57""","114°01'35.17"""
312207110070702,"31°22'08.06""","110°07'09.46"""
360055110304001,"36°00'51""","110°30'41"""
312716110063202,"31°27'16.32""","110°06'34.91"""
325428109433301,"32°54'27.58""","109°43'33.18"""
351214111022101,"35°12'14""","111°02'21"""
312208110070501,"31°22'08.60""","110°07'07.61"""
314125110110501,"31°41'25.55""","110°11'06.89"""
323510111181001,"32°35'14""","111°18'10"""
331915112400601,"33°19'15.40""","112°40'06.22"""
324953112151401,"32°49'53""","112°15'14"""
331949112371701,,
341408111212001,"34°14'08""","111°21'20"""
351635110553401,"35°16'35.12""","110°55'33.66"""
343409111511101,"34°34'09""","111°51'11"""
332023112372901,"33°20'22.87""","112°37'28.71"""
365602112460201,"36°56'02""","112°46'02"""
313105110074501,"31°31'10.56""","110°07'46.70"""
314124110111201,"31°41'23.6""","110°11'11.9"""
313312110082502,"31°33'12""","110°08'25"""
365236112442501,"36°52'36""","112°44'25"""
325134109355401,"32°51'34.37""","109°35'54.15"""
363143110355001,"36°31'41""","110°35'54"""
312214110071602,"31°22'14.53""","110°07'19.63"""
313642110100301,"31°36'42.4""","110°10'03.4"""
312044110141901,"31°20'44.36""","110°14'22.44"""
320944111125701,"32°09'44""","111°12'57"""
341540114014301,"34°15'40.5""","114°01'43.8"""
314144110104701,"31°41'44.22""","110°10'49.85"""
313312110082501,"31°33'12""","110°08'25"""
325045109384101,"32°50'43.84""","109°38'38.33"""
