epoch,timestamp,elapsed_time,total_loss,pde_loss,surf_loss,wt_head_loss,wt_kin_loss,ic_h_loss,ic_zb_loss,pde_grad,surf_grad,wt_head_grad,wt_kin_grad,ic_h_grad,ic_zb_grad,total_grad,pde_weight,surf_weight,wt_head_weight,wt_kin_weight,ic_h_weight,ic_zb_weight,cache_mean_residual,cache_max_residual,cache_std_residual,learning_rate,epoch_time
549,2025-09-23T18:47:46.486877,14.594624042510986,0.00038733051042072475,5.272468115435913e-05,0.00016481641796417534,2.2404698029276915e-05,3.873406595467088e-10,0.0001473255397286266,5.877564390743828e-08,0.024788306074264573,0.0036128721386561534,0.019391055231298044,1.1180955476059596e-08,0.01309536294580468,0.00036500901675636584,0.00800268594755341,100000000.0,100000000.0,0.05576125284990698,32.0,0.05336361770093402,0.7071068009228563,5.197138648327382e-07,9.909126674756408e-06,5.899912025597587e-07,0.003,0.02393198013305664
599,2025-09-23T18:47:47.760572,15.868319034576416,0.0003865910694003105,6.980363832553849e-05,0.00013125169789418578,1.7749600374372676e-05,3.6567898709094493e-10,0.00016747962217777967,3.061291522499232e-07,0.033199539685396025,0.0031935745418362606,0.010287774974734102,7.949185241774346e-09,0.01905694675146471,0.0008317362468437392,0.009725044124993257,100000000.0,100000000.0,0.05576125284990698,32.0,0.05336361770093402,0.7071068009228563,5.197138648327382e-07,9.909126674756408e-06,5.899912025597587e-07,0.003,0.02548694610595703
649,2025-09-23T18:47:49.259914,17.367660999298096,0.00024934858083724976,4.848961907555349e-05,9.798679820960388e-05,1.4754170479136519e-05,5.02357599962977e-10,8.65719557623379e-05,1.5455420907528605e-06,0.02306537883266214,0.0030303069470608715,0.022183406217510155,1.3110185589493494e-08,0.009675457622186528,0.001800990629886015,0.010313718898883287,100000000.0,100000000.0,0.03117304909928046,63.99999999999998,0.029714417276687922,0.659753978837764,5.197138648327382e-07,9.909126674756408e-06,5.899912025597587e-07,0.003,0.024545907974243164
699,2025-09-23T18:47:50.507154,18.614901065826416,0.00025422321050427854,5.5286222050199285e-05,9.20403836062178e-05,2.4723864044062793e-05,5.29969401696917e-10,8.02467911853455e-05,1.9254175640526228e-06,0.060862717884523264,0.0027971922864776333,0.029252945147182376,1.2506592253305375e-08,0.008327608349657002,0.002006592101919523,0.03268331699716412,100000000.0,100000000.0,0.03117304909928046,63.99999999999998,0.029714417276687922,0.659753978837764,5.197138648327382e-07,9.909126674756408e-06,5.899912025597587e-07,0.003,0.024693965911865234
749,2025-09-23T18:47:51.851351,19.95909810066223,0.00020844399114139378,5.26355070178397e-05,8.590521611040458e-05,1.2576623703353107e-05,8.482961555422719e-10,5.4844229453010485e-05,2.481562660250347e-06,0.011618230270722233,0.0023362658291328484,0.015971810579783797,2.1915182307175466e-08,0.0053426055691034435,0.002196428510502464,0.007701426933416063,100000000.0,100000000.0,0.017375066955211377,127.99999999999997,0.016574356739961497,0.615572233528231,5.197138648327382e-07,9.909126674756408e-06,5.899912025597587e-07,0.003,0.027386188507080078
799,2025-09-23T18:47:53.101412,21.20915913581848,0.00016782288730610162,5.177646380616352e-05,6.373623909894377e-05,9.430700629309285e-06,8.149256824907525e-10,4.2809475417016074e-05,6.919651696080109e-08,0.01522725982019897,0.0022469157596876634,0.01856797518475041,2.4007421508759785e-08,0.0022062703980581756,0.000366869666209927,0.0056464183941525616,100000000.0,100000000.0,0.017375066955211377,127.99999999999997,0.016574356739961497,0.615572233528231,5.197138648327382e-07,9.909126674756408e-06,5.899912025597587e-07,0.003,0.02386307716369629
849,2025-09-23T18:47:54.309502,22.417248964309692,0.00017249117081519216,4.7501867811661214e-05,7.689638005103916e-05,6.858515007479582e-06,1.8805039747604724e-09,4.119870936847292e-05,3.381726187967615e-08,0.0315681450204863,0.0015922439168641184,0.009231079442890998,5.705196656522592e-08,0.004838540312455896,0.000247221812659258,0.022085507987647402,100000000.0,100000000.0,0.009616192843073305,255.99999999999994,0.009242803106271305,0.5743492072759819,5.197138648327382e-07,9.909126674756408e-06,5.899912025597587e-07,0.003,0.024348974227905273
899,2025-09-23T18:47:55.527849,23.63559603691101,0.00018483493477106094,5.080170740257017e-05,6.56061529298313e-05,8.729905857762787e-06,2.0114576670948736e-09,5.953735308139585e-05,1.5780078399529884e-07,0.028957502405314577,0.001655577814907972,0.006226821815832743,2.113748694024731e-08,0.008435815840438588,0.0005340590644396483,0.03448042809001643,100000000.0,100000000.0,0.009616192843073305,255.99999999999994,0.009242803106271305,0.5743492072759819,5.197138648327382e-07,9.909126674756408e-06,5.899912025597587e-07,0.003,0.024061918258666992
949,2025-09-23T18:47:56.734997,24.84274411201477,0.00016571482410654426,5.2138766477582976e-05,6.597252649953589e-05,7.450464636349352e-06,3.771759349291415e-09,3.964423012803309e-05,5.050614504398254e-07,0.01039331205327936,0.0017948362994035575,0.0076879733425246405,9.20037692924936e-08,0.005659585511793169,0.0009195766177595409,0.00344842918409366,100000000.0,100000000.0,0.005302854050707842,511.99999999999994,0.0051229518896561965,0.5358867636196958,5.197138648327382e-07,9.909126674756408e-06,5.899912025597587e-07,0.003,0.02408289909362793
999,2025-09-23T18:47:58.002590,26.110337018966675,0.00017482730618212372,4.543571048998274e-05,5.491666161105968e-05,6.8571230258385185e-06,3.2996418930508753e-09,6.757931259926409e-05,3.520222691122399e-08,0.02527002278816433,0.0015420515781853698,0.0028929756134738736,5.191775922651001e-08,0.008104979770840225,0.0002427649628313505,0.022890863850200213,100000000.0,100000000.0,0.005302854050707842,511.99999999999994,0.0051229518896561965,0.5358867636196958,5.197138648327382e-07,9.909126674756408e-06,5.899912025597587e-07,0.003,0.023953914642333984
1049,2025-09-23T18:47:59.285027,27.39277410507202,0.00010766265768324956,3.702668254845776e-05,5.2012615924468264e-05,6.736877821822418e-06,6.5260112869225395e-09,1.1657012692012358e-05,2.2294561574653926e-07,0.0012410037820525172,0.001599054569453136,0.008404550798528894,1.0673354350411124e-07,9.49668740261807e-05,0.0005893681792578331,0.008598715840623867,100000000.0,100000000.0,0.0029134321668160966,1024.0,0.0028049584935436332,0.5000000346170168,5.621006948786089e-07,7.978210305736866e-06,3.8816540381958475e-07,0.003,0.023370981216430664
1099,2025-09-23T18:48:00.494061,28.601808071136475,0.00010030322300735861,3.797421231865883e-05,3.508641020744108e-05,4.006948529422516e-06,4.630219319068374e-09,2.308506373083219e-05,1.4595467234812531e-07,0.01177774033747416,0.0010665940941099782,0.004588139306165319,1.582488351351023e-07,0.003221047611925254,0.0004754909841635079,0.007382088967214276,100000000.0,100000000.0,0.0029134321668160966,1024.0,0.0028049584935436332,0.5000000346170168,5.621006948786089e-07,7.978210305736866e-06,3.8816540381958475e-07,0.003,0.024770021438598633
1149,2025-09-23T18:48:01.846141,29.953887939453125,9.054219117388129e-05,3.341983392601833e-05,2.934663643827662e-05,5.631656676996499e-06,9.306722503765741e-09,2.21243917621905e-05,1.0367037006631108e-08,0.0012791436559850152,0.0009380814137241798,0.0040286112558617785,1.8510258262241898e-07,0.002699255935363518,0.00012231641451366406,0.004673731261061819,100000000.0,100000000.0,0.0015825912204206966,2048.0,0.001524038037649924,0.4665165322294412,5.621006948786089e-07,7.978210305736866e-06,3.8816540381958475e-07,0.003,0.024132728576660156
